list,category,id,name,brand,price,dimension10,metric5,position
Bacanie & Lichide,Bacanie & Lichide,12003832,"Vin Alb BeciulDomnesc Sauvignon Blanc, Demisec, 0.75L",Beciul Domnesc,19.5,available,0,578
Bacanie & Lichide,Bacanie & Lichide,12002496,Vin rosu Beciul Domnesc Feteasca Neagra Demidulce 0.75L,Beciul Domnesc,19.5,available,0,579
Bacanie & Lichide,Bacanie & Lichide,12002497,"Vin rosu Beciul Domnesc, Pinot Noir, Demisec, 0.75L",Beciul Domnesc,19.5,available,0,580
Bacanie & Lichide,Bacanie & Lichide,12002498,"Vin rosu Beciul Domnesc, Cabernet Sauvignon, Sec, 0.75L",Beciul Domnesc,19.5,available,0,581
Bacanie & Lichide,Bacanie & Lichide,12002499,Vin rosu Beciul Domnesc Cabernet Sauvignon Dulce 0.75L,Beciul Domnesc,19.5,available,0,582
Bacanie & Lichide,Bacanie & Lichide,12002530,Vin rosu Beciul Domnesc Merlot Demisec 0.75L,Beciul Domnesc,19.5,available,0,583
Bacanie & Lichide,Bacanie & Lichide,10506907,"Vin rose Caii de la Letea Geneza,Sarica Niculitel, sec, 375ml",Sarica Niculitel,14.9,available,0,584
Bacanie & Lichide,Bacanie & Lichide,10506909,Vin alb Caii de la Letea Geneza Oaky Chardonnay 375ML,Sarica Niculitel,14.9,available,0,585
Bacanie & Lichide,Bacanie & Lichide,12004261,Vin rose Vinarte Castel Starmina Demisec 0.75L,Vinarte,16.9,available,0,586
Bacanie & Lichide,Bacanie & Lichide,10506908,"Vin rosu Caii De La Letea Geneza Feteasca Neagra, sec 375ml",Sarica Niculitel,14.9,available,0,587
Bacanie & Lichide,Bacanie & Lichide,10000785,"Vin rosu Serve Terra Romana Milenium, Sec, 0.75L",Serve,40.9,available,0,588
Bacanie & Lichide,Bacanie & Lichide,10506237,"Vin Rosu Cantina di Negrar Il Viaggio Apassimento Veneto IGT, Sec, 0.75l",Cantina di Negrar,46.9,available,0,589
Bacanie & Lichide,Bacanie & Lichide,10506239,"Vin Alb Cantina di Negrar Pinot Grigio Delle Venezie DOC, Sec, 0.75L",Cantina di Negrar,40.9,available,0,590
Bacanie & Lichide,Bacanie & Lichide,10504002,Vin rose Cotnari Busuioaca de Bohotin demisec 0.75L,Cramele Cotnari,23.9,available,0,591
Bacanie & Lichide,Bacanie & Lichide,12001850,"Vin Alb Schwaben Muscat Ottonel, Demidulce, 0.75l",Recas,13.9,available,0,592
Bacanie & Lichide,Bacanie & Lichide,12001847,"Vin rosu Schwaben, Merlot, Demisec, 0.75l",Recas,13.9,available,0,593
Bacanie & Lichide,Bacanie & Lichide,12001851,"Vin rosu Schwaben, Cabernet Sauvignon, Sec, 0.75l",Recas,13.9,available,0,594
